Anyo,Mes,Dia,Ventas,Prediccion
2016,9,21,1460,1606.4134542041963
2016,9,22,1736,1606.4134542041963
2016,10,1,2227,2217.313477746755
2016,10,3,1488,1655.7526690290165
2016,10,10,1278,1608.27840293673
2016,10,11,1364,1608.27840293673
2016,10,15,1785,2053.3818672112957
2016,10,18,1415,1465.9611786515327
2016,10,19,1271,1459.8957473165951
2016,10,20,1198,1433.7959674786914
2016,10,22,1740,1850.5972326966642
2016,10,31,1341,1604.587145270264
2016,11,1,1380,2015.8570304435498
2016,11,4,1570,1225.2286968141957
2016,11,5,1870,1746.5888844452136
2016,11,6,1601,1728.7495006088755
2016,11,8,673,1166.9088187759608
2016,11,10,1172,1166.9088187759608
2016,11,12,1518,1720.2016681758653
2016,11,14,1155,1205.1882205632014
2016,11,17,1324,1251.8749466892996
2016,11,21,638,1072.5018565998691
2016,11,22,713,1061.4228286502464
2016,11,24,694,1061.4228286502464
2016,11,26,1063,1638.1487130395408
2016,11,30,498,1226.172036176977
2016,12,1,579,960.640497903164
2016,12,2,784,1031.7647495153567
2016,12,4,845,1585.4816948876603
2016,12,5,683,1083.7950509551792
2016,12,6,765,1572.347446006208
2016,12,8,1005,1553.048834635385
2016,12,14,550,917.2661978049849
2016,12,15,522,917.2661978049849
2016,12,20,585,1064.2614177031176
2016,12,27,1135,1223.6226482810225
2016,12,28,1203,1234.0733285078727
2017,1,1,2259,1554.8161096078848
2017,1,2,1032,1155.3598655765986
2017,1,7,927,1265.4683307316627
2017,1,8,1057,1363.687636912348
2017,1,12,645,654.0309006135592
2017,1,16,570,668.9993093572102
2017,1,17,593,646.4263499741589
2017,1,20,777,659.2362863316733
2017,1,23,799,627.9311207756555
2017,1,24,529,627.9311207756555
2017,1,31,602,869.1689625273635
2017,2,6,624,895.4184883309667
2017,2,18,1541,1417.3915369232695
2017,2,24,1313,948.344382186123
2017,2,25,1685,1502.817775344563
2017,2,26,1480,1489.342876324285
2017,2,28,889,954.2080826545375
2017,3,10,1338,1463.8800537705406
2017,3,11,1705,1936.9043525418379
2017,3,12,1474,2121.929530014161
2017,3,20,1029,2086.4290225652435
2017,3,22,788,1226.3642990193339
2017,3,24,1357,1215.2852710697111
2017,3,25,1733,1844.5117648998987
2017,3,29,1024,1342.4738721304402
2017,3,30,1179,1341.4979979991026
2017,3,31,1675,1602.6435729802006
2017,4,3,1364,1477.1595920233513
2017,4,8,2412,2192.2933411642343
2017,4,16,2646,2244.477987610324
2017,4,17,2006,1651.1135865095664
2017,4,19,1237,1622.8077523744653
2017,4,21,2060,1470.2894017140725
2017,4,22,2415,2116.9970535570524
