Id_heladeria,Des_Heladeria,Comunidad_Autonoma,Consumo_In_Situ,Productos_Premium,HorasAbierto,Fecha,Anyo,Mes,Dia,Tipo,Temperatura,Ventas
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,4,0,32.1,2058
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,5,0,29,1973
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,6,0,28.2,2145
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,7,1,27.2,2318
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,8,2,27.2,2151
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,9,0,28.5,1531
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,10,0,29.9,1440
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,11,0,23.4,1641
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,12,0,25.7,1556
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,13,0,28.7,1911
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,14,1,29.4,2134
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,15,2,29.3,1927
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,16,0,30,1428
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,17,0,28.9,1191
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,18,0,29.2,1086
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,19,0,27.8,1349
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,20,0,28.2,1689
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,21,1,28.6,2003
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,22,2,29.6,1966
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,23,0,30.1,1284
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,24,0,30,1156
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,25,0,29,1275
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,26,0,29.2,1073
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,27,0,25.2,1365
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,28,1,21.4,1648
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,29,2,20.7,1659
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,9,30,0,21.3,1141
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,1,0,23.3,1050
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,10,2,0,24.2,956
